No.,Time,Source,Destination,Protocol,Length,Info
1,0,AsustekC_64:40:79,Broadcast,ARP,60,Who has 172.27.224.250? Tell 172.27.224.251
2,0.001344,Telemech_09:51:3b,AsustekC_64:40:79,ARP,64,172.27.224.250 is at 00:80:f4:09:51:3b [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
3,0.00137,172.27.224.251,172.27.224.250,TCP,60,54270  >  502 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
4,0.011591,172.27.224.250,172.27.224.251,TCP,60,"502  >  54270 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0"
5,0.011605,172.27.224.251,172.27.224.250,TCP,60,54270  >  502 [ACK] Seq=1 Ack=1 Win=2048 Len=0
6,0.012716,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1"
7,0.012969,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=2 Ack=1 Win=2048 Len=1"
8,0.013218,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=3 Ack=1 Win=2048 Len=1"
9,0.013465,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=4 Ack=1 Win=2048 Len=1"
10,0.013714,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=5 Ack=1 Win=2048 Len=1"
11,0.013966,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=6 Ack=1 Win=2048 Len=1"
12,0.014214,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=7 Ack=1 Win=2048 Len=1"
13,0.014462,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=8 Ack=1 Win=2048 Len=1"
14,0.01471,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=9 Ack=1 Win=2048 Len=1"
15,0.014964,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=10 Ack=1 Win=2048 Len=1"
16,0.015212,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=11 Ack=1 Win=2048 Len=1"
17,0.015459,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [PSH, ACK] Seq=12 Ack=1 Win=2048 Len=1"
18,0.023068,172.27.224.250,172.27.224.251,TCP,60,502  >  54270 [ACK] Seq=1 Ack=7 Win=8712 Len=0
19,0.033793,172.27.224.250,172.27.224.251,TCP,60,502  >  54270 [ACK] Seq=1 Ack=13 Win=8707 Len=0
20,0.034656,172.27.224.250,172.27.224.251,Modbus/TCP,66,"Response: Trans:     1; Unit:   1, Func:   6: Write Single Register"
21,0.151857,HewlettP_8e:40:b3,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 32768/0/00:18:6e:d7:8a:c0  Cost = 38  Port = 0x8005 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
22,0.236899,172.27.224.251,172.27.224.250,TCP,60,54270  >  502 [ACK] Seq=13 Ack=13 Win=2036 Len=0
23,1.451719,172.27.224.251,172.27.224.250,TCP,60,"54270  >  502 [FIN, ACK] Seq=13 Ack=13 Win=2036 Len=0"
24,1.4615,172.27.224.250,172.27.224.251,TCP,60,502  >  54270 [ACK] Seq=13 Ack=14 Win=8712 Len=0
25,1.462634,172.27.224.250,172.27.224.251,TCP,60,"502  >  54270 [FIN, ACK] Seq=13 Ack=14 Win=8712 Len=0"
26,1.462658,172.27.224.251,172.27.224.250,TCP,60,54270  >  502 [ACK] Seq=14 Ack=14 Win=2036 Len=0
27,1.46283,172.27.224.250,172.27.224.251,TCP,60,"502  >  54270 [RST, ACK] Seq=14 Ack=14 Win=8712 Len=0"
28,1.471444,172.27.224.250,172.27.224.251,TCP,60,502  >  54270 [RST] Seq=14 Win=0 Len=0
29,2.151774,HewlettP_8e:40:b3,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 32768/0/00:18:6e:d7:8a:c0  Cost = 38  Port = 0x8005 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
30,2.899491,AsustekC_64:40:79,Broadcast,ARP,60,Who has 172.27.224.250? Tell 172.27.224.251
31,2.90137,Telemech_09:51:3b,AsustekC_64:40:79,ARP,64,172.27.224.250 is at 00:80:f4:09:51:3b [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
32,2.901382,172.27.224.251,172.27.224.250,TCP,60,54271  >  502 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
33,2.911634,172.27.224.250,172.27.224.251,TCP,60,"502  >  54271 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0"
34,2.911639,172.27.224.251,172.27.224.250,TCP,60,54271  >  502 [ACK] Seq=1 Ack=1 Win=2048 Len=0
35,2.9122,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1"
36,2.912444,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=2 Ack=1 Win=2048 Len=1"
37,2.9127,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=3 Ack=1 Win=2048 Len=1"
38,2.912947,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=4 Ack=1 Win=2048 Len=1"
39,2.913195,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=5 Ack=1 Win=2048 Len=1"
40,2.913443,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=6 Ack=1 Win=2048 Len=1"
41,2.913695,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=7 Ack=1 Win=2048 Len=1"
42,2.913942,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=8 Ack=1 Win=2048 Len=1"
43,2.914192,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=9 Ack=1 Win=2048 Len=1"
44,2.914439,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=10 Ack=1 Win=2048 Len=1"
45,2.914692,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=11 Ack=1 Win=2048 Len=1"
46,2.91494,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [PSH, ACK] Seq=12 Ack=1 Win=2048 Len=1"
47,2.923074,172.27.224.250,172.27.224.251,TCP,60,502  >  54271 [ACK] Seq=1 Ack=7 Win=8712 Len=0
48,2.932719,172.27.224.250,172.27.224.251,TCP,60,502  >  54271 [ACK] Seq=1 Ack=13 Win=8707 Len=0
49,2.933528,172.27.224.250,172.27.224.251,Modbus/TCP,66,"Response: Trans:     1; Unit:   1, Func:   6: Write Single Register"
50,3.13579,172.27.224.251,172.27.224.250,TCP,60,54271  >  502 [ACK] Seq=13 Ack=13 Win=2036 Len=0
51,4.151773,HewlettP_8e:40:b3,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 32768/0/00:18:6e:d7:8a:c0  Cost = 38  Port = 0x8005 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
52,4.351135,172.27.224.251,172.27.224.250,TCP,60,"54271  >  502 [FIN, ACK] Seq=13 Ack=13 Win=2036 Len=0"
53,4.351513,172.27.224.250,172.27.224.251,TCP,60,502  >  54271 [ACK] Seq=13 Ack=14 Win=8712 Len=0
54,4.352339,172.27.224.250,172.27.224.251,TCP,60,"502  >  54271 [FIN, ACK] Seq=13 Ack=14 Win=8712 Len=0"
55,4.35236,172.27.224.251,172.27.224.250,TCP,60,54271  >  502 [ACK] Seq=14 Ack=14 Win=2036 Len=0
56,4.352543,172.27.224.250,172.27.224.251,TCP,60,"502  >  54271 [RST, ACK] Seq=14 Ack=14 Win=8712 Len=0"
57,4.361489,172.27.224.250,172.27.224.251,TCP,60,502  >  54271 [RST] Seq=14 Win=0 Len=0
58,5.789686,AsustekC_64:40:79,Broadcast,ARP,60,Who has 172.27.224.250? Tell 172.27.224.251
