No.,Time,Source,Destination,Protocol,Length,Info
1,0,HewlettP_8e:40:b3,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 32768/0/00:18:6e:d7:8a:c0  Cost = 38  Port = 0x8005 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
2,0.132712,AsustekC_64:40:79,Broadcast,ARP,60,Who has 172.27.224.250? Tell 172.27.224.251
3,0.134771,Telemech_09:51:3b,AsustekC_64:40:79,ARP,64,172.27.224.250 is at 00:80:f4:09:51:3b [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
4,0.134788,172.27.224.251,172.27.224.250,TCP,60,50011  >  502 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
5,0.144991,172.27.224.250,172.27.224.251,TCP,60,"502  >  50011 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0"
6,0.145009,172.27.224.251,172.27.224.250,TCP,60,50011  >  502 [ACK] Seq=1 Ack=1 Win=2048 Len=0
7,0.145452,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1"
8,0.145699,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=2 Ack=1 Win=2048 Len=1"
9,0.145947,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=3 Ack=1 Win=2048 Len=1"
10,0.146195,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=4 Ack=1 Win=2048 Len=1"
11,0.146449,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=5 Ack=1 Win=2048 Len=1"
12,0.146697,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=6 Ack=1 Win=2048 Len=1"
13,0.146945,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=7 Ack=1 Win=2048 Len=1"
14,0.147192,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=8 Ack=1 Win=2048 Len=1"
15,0.147447,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=9 Ack=1 Win=2048 Len=1"
16,0.147695,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=10 Ack=1 Win=2048 Len=1"
17,0.147942,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=11 Ack=1 Win=2048 Len=1"
18,0.14819,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [PSH, ACK] Seq=12 Ack=1 Win=2048 Len=1"
19,0.157526,172.27.224.250,172.27.224.251,TCP,60,502  >  50011 [ACK] Seq=1 Ack=7 Win=8712 Len=0
20,0.165801,172.27.224.250,172.27.224.251,TCP,60,502  >  50011 [ACK] Seq=1 Ack=13 Win=8707 Len=0
21,0.166613,172.27.224.250,172.27.224.251,Modbus/TCP,66,"Response: Trans:     1; Unit:   1, Func:   6: Write Single Register"
22,0.36884,172.27.224.251,172.27.224.250,TCP,60,50011  >  502 [ACK] Seq=13 Ack=13 Win=2036 Len=0
23,1.58441,172.27.224.251,172.27.224.250,TCP,60,"50011  >  502 [FIN, ACK] Seq=13 Ack=13 Win=2036 Len=0"
24,1.584906,172.27.224.250,172.27.224.251,TCP,60,502  >  50011 [ACK] Seq=13 Ack=14 Win=8712 Len=0
25,1.586114,172.27.224.250,172.27.224.251,TCP,60,"502  >  50011 [FIN, ACK] Seq=13 Ack=14 Win=8712 Len=0"
26,1.586142,172.27.224.251,172.27.224.250,TCP,60,50011  >  502 [ACK] Seq=14 Ack=14 Win=2036 Len=0
27,1.586315,172.27.224.250,172.27.224.251,TCP,60,"502  >  50011 [RST, ACK] Seq=14 Ack=14 Win=8712 Len=0"
28,1.594873,172.27.224.250,172.27.224.251,TCP,60,502  >  50011 [RST] Seq=14 Win=0 Len=0
29,1.999998,HewlettP_8e:40:b3,Spanning-tree-(for-bridges)_00,STP,64,RST. Root = 32768/0/00:18:6e:d7:8a:c0  Cost = 38  Port = 0x8005 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
30,3.022979,AsustekC_64:40:79,Broadcast,ARP,60,Who has 172.27.224.250? Tell 172.27.224.251
31,3.024787,Telemech_09:51:3b,AsustekC_64:40:79,ARP,64,172.27.224.250 is at 00:80:f4:09:51:3b [ETHERNET FRAME CHECK SEQUENCE INCORRECT]
32,3.024801,172.27.224.251,172.27.224.250,TCP,60,50012  >  502 [SYN] Seq=0 Win=2048 Len=0 MSS=1460
33,3.035039,172.27.224.250,172.27.224.251,TCP,60,"502  >  50012 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0"
34,3.035054,172.27.224.251,172.27.224.250,TCP,60,50012  >  502 [ACK] Seq=1 Ack=1 Win=2048 Len=0
35,3.035708,172.27.224.251,172.27.224.250,TCP,60,"50012  >  502 [PSH, ACK] Seq=1 Ack=1 Win=2048 Len=1"
36,3.035961,172.27.224.251,172.27.224.250,TCP,60,"50012  >  502 [PSH, ACK] Seq=2 Ack=1 Win=2048 Len=1"
37,3.036208,172.27.224.251,172.27.224.250,TCP,60,"50012  >  502 [PSH, ACK] Seq=3 Ack=1 Win=2048 Len=1"
