"No.","Time","Source","Destination","Protocol","Length","Info"
"2141","9.857700594","192.168.163.128","211.231.99.80","HTTP","622","GET / HTTP/1.1 "
"2145","9.860371892","211.231.99.80","192.168.163.128","HTTP","191","HTTP/1.1 302 Found : Moved Temporarily "
"3558","15.155831427","192.168.163.128","27.0.236.80","HTTP","654","GET / HTTP/1.1 "
"3562","15.164720161","27.0.236.80","192.168.163.128","HTTP","191","HTTP/1.1 302 Found : Moved Temporarily "
"4884","21.146647181","192.168.163.128","211.231.99.80","HTTP","810","GET /?nil_profile=mini&nil_src=daum HTTP/1.1 "
"4888","21.150227441","211.231.99.80","192.168.163.128","HTTP","221","HTTP/1.1 302 Found : Moved Temporarily "
"5788","22.421359002","192.168.163.128","121.53.218.13","HTTP","700","GET / HTTP/1.1 "
"5830","22.444358456","121.53.218.13","192.168.163.128","HTTP","4151","HTTP/1.1 200 OK  (text/html)"
"5843","22.464746396","192.168.163.128","183.111.43.34","HTTP","419","GET /cartoon/cssjs/underscore/underscore-1.8.3.min.js HTTP/1.1 "
"5857","22.466221127","192.168.163.128","183.111.43.34","HTTP","395","GET /tiara/js/v1/tiara.min.js HTTP/1.1 "
"5861","22.466955645","192.168.163.128","183.111.43.34","HTTP","393","GET /adfit/static/ad.min.js HTTP/1.1 "
"5869","22.468324904","183.111.43.34","192.168.163.128","HTTP","60","HTTP/1.1 200 OK  (text/javascript)"
"5879","22.470002987","183.111.43.34","192.168.163.128","HTTP","2538","HTTP/1.1 200 OK  (text/javascript)"
"5914","22.473963085","183.111.43.34","192.168.163.128","HTTP","4243","HTTP/1.1 200 OK  (text/javascript)"
"5920","22.474744131","192.168.163.128","203.217.227.142","HTTP","420","GET /svc/original/U03/cssjs/jquery/jquery-2.1.1.min.js HTTP/1.1 "
"5921","22.474842328","192.168.163.128","203.217.227.142","HTTP","424","GET /svc/original/U03/cssjs/backbone/backbone-1.1.2.min.js HTTP/1.1 "
"5926","22.475337956","192.168.163.128","203.217.227.142","HTTP","434","GET /svc/original/U03/cssjs/jquery/plugin/jquery.cookie-1.4.0.min.js HTTP/1.1 "
"5930","22.476139336","192.168.163.128","203.217.227.142","HTTP","434","GET /svc/original/U03/cssjs/pcsocialshare/pcSocialshare-1.5.3.min.js HTTP/1.1 "
"5939","22.480209273","203.217.227.142","192.168.163.128","HTTP","3570","HTTP/1.1 200 OK  (text/javascript)"
"5941","22.480244220","203.217.227.142","192.168.163.128","HTTP","1167","HTTP/1.1 200 OK  (text/javascript)"
"5967","22.485460453","203.217.227.142","192.168.163.128","HTTP","1572","HTTP/1.1 200 OK  (text/javascript)"
"5971","22.485834154","203.217.227.142","192.168.163.128","HTTP","3336","HTTP/1.1 200 OK  (text/javascript)"
"6044","22.799592276","192.168.163.128","183.111.43.34","HTTP","412","GET /webtoon/images/pc/ico_gidamoo_171101.png HTTP/1.1 "
"6046","22.800024679","192.168.163.128","183.111.43.34","HTTP","411","GET /webtoon/images/pc/tit_comm_180615_2.png HTTP/1.1 "
"6048","22.800531202","192.168.163.128","183.111.43.34","HTTP","402","GET /webtoon/images/pc/bg_event.png HTTP/1.1 "
"6055","22.801263265","192.168.163.128","203.217.238.37","HTTP","416","GET /img-section/cartoon/webtoon2015/gnb_comm.png HTTP/1.1 "
"6061","22.801905682","192.168.163.128","203.217.238.37","HTTP","417","GET /img-section/cartoon/webtoon2015/bg_search.gif HTTP/1.1 "
"6062","22.801971677","192.168.163.128","203.217.238.37","HTTP","418","GET /img-section/cartoon/webtoon2015/txt_search.gif HTTP/1.1 "
"6069","22.802680691","183.111.43.34","192.168.163.128","HTTP","3468","HTTP/1.1 200 OK  (PNG)"
"6090","22.804416233","183.111.43.34","192.168.163.128","HTTP","748","HTTP/1.1 200 OK  (PNG)"
"6092","22.804431642","192.168.163.128","203.217.238.37","HTTP","418","GET /img-section/cartoon/webtoon2015/bg_suggest.gif HTTP/1.1 "
"6095","22.804527535","192.168.163.128","183.111.43.34","HTTP","413","GET /webtoon/images/pc/bg_event_collection.png HTTP/1.1 "
"6103","22.805297078","183.111.43.34","192.168.163.128","HTTP","1660","HTTP/1.1 200 OK  (PNG)"
"6105","22.805321565","203.217.238.37","192.168.163.128","HTTP","1157","HTTP/1.1 200 OK  (PNG)"
"6109","22.805998453","203.217.238.37","192.168.163.128","HTTP","1380","HTTP/1.1 200 OK  (GIF89a)"
"6114","22.806741366","203.217.238.37","192.168.163.128","HTTP","1162","HTTP/1.1 200 OK  (GIF89a)"
"6119","22.808160771","183.111.43.34","192.168.163.128","HTTP","1047","HTTP/1.1 200 OK  (PNG)"
"6124","22.808580405","203.217.238.37","192.168.163.128","HTTP","1187","HTTP/1.1 200 OK  (GIF89a)"
"6179","22.930471030","192.168.163.128","183.111.43.34","HTTP","425","GET /daumtop_deco/scripts/minidaum/pc/minidaum_pc-1d.min.js HTTP/1.1 "
"6189","22.934063128","183.111.43.34","192.168.163.128","HTTP","1095","HTTP/1.1 200 OK  (text/javascript)"
"6204","22.941466592","192.168.163.128","203.217.238.37","HTTP","419","GET /img-section/cartoon/webtoon2015/ico_loading.gif HTTP/1.1 "
"6220","22.946592784","203.217.238.37","192.168.163.128","HTTP","2596","HTTP/1.1 200 OK  (GIF89a)"
"6242","22.950299155","192.168.163.128","183.111.43.34","HTTP","458","GET /daumtop_deco/images/common/minidaum/rtn/ic_cafe.png HTTP/1.1 "
"6243","22.950347007","192.168.163.128","183.111.43.34","HTTP","458","GET /daumtop_deco/images/common/minidaum/rtn/ic_news.png HTTP/1.1 "
"6274","22.954744206","183.111.43.34","192.168.163.128","HTTP","60","HTTP/1.1 200 OK  (PNG)"
"6280","22.955392029","183.111.43.34","192.168.163.128","HTTP","874","HTTP/1.1 200 OK  (PNG)"
"6285","22.958224848","192.168.163.128","183.111.43.34","HTTP","457","GET /daumtop_deco/images/common/minidaum/rtn/ic_map.png HTTP/1.1 "
"6286","22.958289140","192.168.163.128","183.111.43.34","HTTP","462","GET /daumtop_deco/images/common/minidaum/rtn/ic_shopping.png HTTP/1.1 "
"6287","22.958334747","192.168.163.128","203.217.238.37","HTTP","420","GET /img-contents/webtoon/PC/wt_minidaum_20170908.png HTTP/1.1 "
"6299","22.961258650","183.111.43.34","192.168.163.128","HTTP","3410","HTTP/1.1 200 OK  (PNG)"
"6301","22.961543131","183.111.43.34","192.168.163.128","HTTP","1600","HTTP/1.1 200 OK  (PNG)"
"6305","22.962624157","203.217.238.37","192.168.163.128","HTTP","1817","HTTP/1.1 200 OK  (PNG)"
"6387","23.045009021","192.168.163.128","121.53.218.13","HTTP","668","GET /data/pc/my/popup_notice?timeStamp=1582528341761 HTTP/1.1 "
"6397","23.061030034","192.168.163.128","121.53.218.13","HTTP","665","GET /data/pc/webtoon/list_gidamoo HTTP/1.1 "
"6401","23.062357795","192.168.163.128","121.53.218.13","HTTP","739","GET /data/pc/cms/webtoon_home_top_banner?timeStamp=1582528341761 HTTP/1.1 "
"6407","23.063319319","192.168.163.128","121.53.218.13","HTTP","737","GET /data/pc/cms/new_recommend_webtoon?timeStamp=1582528341761 HTTP/1.1 "
"6409","23.063610202","192.168.163.128","121.53.218.13","HTTP","758","GET /data/pc/webtoon/list_daily_ranking/finished?pageSize=5&timeStamp=1582528341761 HTTP/1.1 "
"6414","23.074400976","192.168.163.128","121.53.218.13","HTTP","760","GET /data/pc/webtoon/list_daily_ranking/serialized?pageSize=5&timeStamp=1582528341761 HTTP/1.1 "
"6416","23.075747989","121.53.218.13","192.168.163.128","HTTP","315","HTTP/1.1 200 OK  (application/json)"
"6424","23.080223508","192.168.163.128","121.53.218.13","HTTP","734","GET /data/pc/webtoon/list_recommend?timeStamp=1582528341761 HTTP/1.1 "
"6440","23.088169564","121.53.218.13","192.168.163.128","HTTP","864","HTTP/1.1 200 OK  (application/json)"
"6444","23.089447255","121.53.218.13","192.168.163.128","HTTP","860","HTTP/1.1 200 OK  (application/json)"
"6451","23.091350366","192.168.163.128","121.53.218.13","HTTP","742","GET /data/pc/cms/webtoon_home_middle_banner?timeStamp=1582528341761 HTTP/1.1 "
"6468","23.094262861","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/071a4d86fb491df34329ee2efc221e7424e5e7d1 HTTP/1.1 "
"6469","23.094310813","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/8f7e9a817cd80465407a4a77906e949bb05d30db HTTP/1.1 "
"6470","23.094352231","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/973ca5ba1ddd64f44da886b2b30dcae87861cccb HTTP/1.1 "
"6473","23.094419359","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/f27345135fece6ff2068ea5908feee58ddae250f HTTP/1.1 "
"6475","23.094494011","192.168.163.128","121.53.218.13","HTTP","739","GET /data/pc/webtoon/list_serialized/mon?timeStamp=1582528341761 HTTP/1.1 "
"6491","23.096916470","121.53.218.13","192.168.163.128","HTTP","4068","HTTP/1.1 200 OK  (application/json)"
"6509","23.098359154","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/8907d2f6e40a782abaab190d4fcd31796069005a HTTP/1.1 "
"6586","23.106659790","183.111.43.34","192.168.163.128","HTTP","2018","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6595","23.107556246","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/036761e44cd180625ac199a4ee01646e0ab84415 HTTP/1.1 "
"6606","23.108917851","183.111.43.34","192.168.163.128","HTTP","732","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6611","23.109416930","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/74ccfd41a4731041c811860540a8a601516ef359 HTTP/1.1 "
"6620","23.109879951","183.111.43.34","192.168.163.128","HTTP","1227","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6622","23.110095652","183.111.43.34","192.168.163.128","HTTP","3609","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6646","23.113519109","121.53.218.13","192.168.163.128","HTTP","313","HTTP/1.1 200 OK  (application/json)"
"6669","23.115950234","192.168.163.128","121.53.218.13","HTTP","735","GET /data/pc/cms/webtoon_home_notice?timeStamp=1582528341761 HTTP/1.1 "
"6690","23.118830944","183.111.43.34","192.168.163.128","HTTP","3464","HTTP/1.1 200 OK  (PNG)"
"6696","23.119864621","183.111.43.34","192.168.163.128","HTTP","2665","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6700","23.119918413","121.53.218.13","192.168.163.128","HTTP","1010","HTTP/1.1 200 OK  (application/json)"
"6713","23.121147181","121.53.218.13","192.168.163.128","HTTP","515","HTTP/1.1 200 OK  (application/json)"
"6733","23.123543219","192.168.163.128","121.53.218.13","HTTP","742","GET /data/pc/cms/webtoon_home_bottom_banner?timeStamp=1582528341761 HTTP/1.1 "
"6761","23.127448950","192.168.163.128","183.111.43.34","HTTP","433","GET /cartoon/58F715580243F20001 HTTP/1.1 "
"6762","23.127530114","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/f33b48e034b451d210f240a2b11c138b93f23354 HTTP/1.1 "
"6763","23.127547447","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/c319f2363f58133a543295e274566b207d60f2c5 HTTP/1.1 "
"6780","23.129144836","192.168.163.128","121.53.218.13","HTTP","736","GET /data/pc/webtoon/list_recent_view?timeStamp=1582528341761 HTTP/1.1 "
"6815","23.133879824","183.111.43.34","192.168.163.128","HTTP","3302","HTTP/1.1 200 OK  (PNG)"
"6851","23.138083210","183.111.43.34","192.168.163.128","HTTP","2150","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6855","23.138435621","183.111.43.34","192.168.163.128","HTTP","3688","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6858","23.138790195","183.111.43.34","192.168.163.128","HTTP","3363","HTTP/1.1 200 OK  (JPEG JFIF image)"
"6872","23.140899603","121.53.218.13","192.168.163.128","HTTP","478","HTTP/1.1 200 OK  (application/json)"
"6882","23.141904951","192.168.163.128","211.231.100.117","HTTP","455","GET /svc/image/U03/cartoon/55C041D20439770001 HTTP/1.1 "
"6883","23.141934808","192.168.163.128","211.231.100.117","HTTP","455","GET /svc/image/U03/cartoon/56A5F70E0213240001 HTTP/1.1 "
"6920","23.146890345","121.53.218.13","192.168.163.128","HTTP","1505","HTTP/1.1 200 OK  (application/json)"
"6938","23.150674664","121.53.218.13","192.168.163.128","HTTP","872","HTTP/1.1 200 OK  (application/json)"
"6971","23.154389165","192.168.163.128","183.111.43.34","HTTP","433","GET /cartoon/59226D8606616F0002 HTTP/1.1 "
"6976","23.154623662","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/ea318101ff21208750a203ca6aa26a45f79061c5 HTTP/1.1 "
"6983","23.154891050","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/d4ec4636b6b45a7a55ecf7707de14526e7cc2e48 HTTP/1.1 "
"6984","23.154977515","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/1215f1d5c2992124323269c777aac7c3142ffa21 HTTP/1.1 "
"6986","23.155002382","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/4a919869d9607f2f6505da41e6c4342e7123d273 HTTP/1.1 "
"6994","23.155639594","192.168.163.128","183.111.43.34","HTTP","458","GET /webtoon/op/795bae18b469e15bb854d2c814db36e8cf1a9c87 HTTP/1.1 "
